id_drug_i,id_drug_j,name_i,name_j,description,severity
DB00264,DB00343,Metoprolol,Diltiazem,Increased risk of bradycardia,
DB00264,DB00457,Metoprolol,Prazosin,Risk of hypotension at the beginning of therapy,
DB00264,DB00472,Metoprolol,Fluoxetine,The SSRI increases the effect of the beta-blocker,
DB00264,DB00474,Metoprolol,Methohexital,The barbiturate decreases the effect of metabolized beta-blocker,
DB00264,DB00501,Metoprolol,Cimetidine,Cimetidine increases the effect of the beta-blocker,
DB00264,DB00554,Metoprolol,Piroxicam,Risk of inhibition of renal prostaglandins,
DB00264,DB00575,Metoprolol,Clonidine,Increased hypertension when clonidine stopped,
DB00264,DB00661,Metoprolol,Verapamil,Increased effect of both drugs,
DB00264,DB00668,Metoprolol,Epinephrine,"Hypertension, then bradycardia",
DB00264,DB00715,Metoprolol,Paroxetine,The SSRI increases the effect of the beta-blocker,
DB00264,DB00794,Metoprolol,Primidone,The barbiturate decreases the effect of metabolized beta-blocker,
DB00264,DB00871,Metoprolol,Terbutaline,Antagonism,
DB00264,DB00912,Metoprolol,Repaglinide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00264,DB00938,Metoprolol,Salmeterol,Antagonism,
DB00264,DB00983,Metoprolol,Formoterol,Antagonism,
DB00264,DB01001,Metoprolol,Salbutamol,Antagonism,
DB00264,DB01016,Metoprolol,Glyburide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00264,DB01045,Metoprolol,Rifampicin,Rifampin decreases the effect of the metabolized beta-blocker,
DB00264,DB01050,Metoprolol,Ibuprofen,Risk of inhibition of renal prostaglandins,
DB00264,DB01064,Metoprolol,Isoprenaline,Antagonism,
DB00264,DB01067,Metoprolol,Glipizide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00264,DB01104,Metoprolol,Sertraline,The SSRI increases the effect of the beta-blocker,
DB00264,DB01174,Metoprolol,Phenobarbital,The barbiturate decreases the effect of metabolized beta-blocker,
DB00264,DB01175,Metoprolol,Escitalopram,The SSRI increases the effect of the beta-blocker,
DB00264,DB01182,Metoprolol,Propafenone,Propafenone increases the effect of beta-blocker,
DB00264,DB01275,Metoprolol,Hydralazine,Increased effect of both drugs,
DB00264,DB01291,Metoprolol,Pirbuterol,Antagonism,
DB00268,DB00537,Ropinirole,Ciprofloxacin,The quinolone increases the effect and toxicity of ropinirole,
DB00273,DB00564,Topiramate,Carbamazepine,Carbamazepine may reduce levels of topiramate,
DB00273,DB00977,Topiramate,Ethinylestradiol,Topiramate decreases the effect of estrogen,
DB00273,DB01320,Topiramate,Fosphenytoin,Increased phenytoin/decreased topiramate,
DB00273,DB01356,Topiramate,Lithium cation,Topiramate could modify lithium levels,
DB00277,DB00537,Theophylline,Ciprofloxacin,The quinolone increases the effect of theophylline,
DB00277,DB00571,Theophylline,Propranolol,Antagonism of action and increased effect of theophylline,
DB00277,DB00640,Theophylline,Adenosine,The xanthine decreases the effect of adenosine,
DB00277,DB00661,Theophylline,Verapamil,Verapamil increases the effect of theophylline,
DB00277,DB00787,Theophylline,Acyclovir,Aciclovir increases the effect and toxicity of theophylline,
DB00277,DB00794,Theophylline,Primidone,The barbiturate decreases the effect of theophylline,
DB00277,DB00806,Theophylline,Pentoxifylline,Pentoxifylline increases the effect and toxicity of theophylline,
DB00277,DB01211,Theophylline,Clarithromycin,Clarithromycin increases the effect and toxicity of theophylline,
DB00277,DB01320,Theophylline,Fosphenytoin,Decreased effect of both products,
DB00277,DB01339,Theophylline,Vecuronium,Theophylline decreases the effect of the muscle relaxant,
DB00279,DB00390,Liothyronine,Digoxin,The thyroid hormones decreases the effect of digoxin,
DB00279,DB01432,Liothyronine,Cholestyramine,The resin decreases the absorption of thyroid hormones,
DB00280,DB00335,Disopyramide,Atenolol,The beta-blocker increases toxicity of disopyramide,
DB00280,DB00338,Disopyramide,Omeprazole,The beta-blocker increases toxicity of disopyramide,
DB00280,DB01203,Disopyramide,Nadolol,The beta-blocker increases toxicity of disopyramide,
DB00281,DB00335,Lidocaine,Atenolol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB00373,Lidocaine,Timolol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB00501,Lidocaine,Cimetidine,Increases the effect and toxicity of lidocaine,
DB00281,DB00571,Lidocaine,Propranolol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB00598,Lidocaine,Labetalol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB00612,Lidocaine,Bisoprolol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB00960,Lidocaine,Pindolol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB01072,Lidocaine,Atazanavir,Increased risk of cardiotoxicity and arrhythmias,
DB00281,DB01136,Lidocaine,Carvedilol,The beta-blocker increases the effect and toxicity of lidocaine,
DB00281,DB01193,Lidocaine,Acebutolol,Decreased in symptoms of hypoglycemia and increase in time required for the body to compensate for hypoglycemia,
DB00281,DB01203,Lidocaine,Nadolol,The beta-blocker decreases the symptoms of hypoglycemia,
DB00281,DB01264,Lidocaine,Darunavir,Possible increase in lidocaine levels,
DB00281,DB01369,Lidocaine,Quinupristin,This combination presents an increased risk of toxicity,
DB00284,DB00390,Acarbose,Digoxin,"Decreased serum levels of digoxin, it is thought that acarbose reduces digoxin absorption.",
DB00285,DB00601,Venlafaxine,Linezolid,Combination associated with possible serotoninergic syndrome,
DB00285,DB00952,Venlafaxine,Naratriptan,Increased risk of CNS adverse effects,
DB00285,DB00998,Venlafaxine,Frovatriptan,Increased risk of CNS adverse effects,
DB00285,DB01182,Venlafaxine,Propafenone,Propafenone increases the effect and toxicity of venlafaxine,
DB00285,DB01233,Venlafaxine,Metoclopramide,Possible serotoninergic syndrome with this combination,
DB00285,DB01367,Venlafaxine,Rasagiline,Possible severe adverse reaction with this combination,
DB00286,DB00635,Conjugated estrogens,Prednisone,The estrogenic agent increases the effect of corticosteroid,Moderate
DB00286,DB00794,Conjugated estrogens,Primidone,The enzyme inducer decreases the effect of hormones,
DB00286,DB00860,Conjugated estrogens,Prednisolone,The estrogenic agent increases the effect of corticosteroid,Moderate
DB00289,DB00472,Atomoxetine,Fluoxetine,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00289,DB00502,Atomoxetine,Haloperidol,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00289,DB00715,Atomoxetine,Paroxetine,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00289,DB00850,Atomoxetine,Perphenazine,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00289,DB00857,Atomoxetine,Terbinafine,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00289,DB01075,Atomoxetine,Diphenhydramine,The CYP2D6 inhibitor could increase the effect and toxicity of atomoxetine,
DB00295,DB00501,Morphine,Cimetidine,Cimetidine increases the effect of the narcotic,
DB00295,DB00704,Morphine,Naltrexone,Naltrexone may precipitate a withdrawal syndrome in opioid-dependent individuals,
DB00295,DB01045,Morphine,Rifampicin,Rifampin decreases the effect of morphine/codeine,
DB00300,DB01072,Tenofovir disoproxil,Atazanavir,Tenofovir decreases the levels/effects of atazanavir,
DB00300,DB01610,Tenofovir disoproxil,Valganciclovir,The excretion rates of Valganciclovir and/or Tenofovir may decrease as both drugs are eliminated by active tubular secretion. Monitor for increased serum concentrations and toxicity of both agents.,
DB00304,DB00555,Desogestrel,Lamotrigine,The oral contraceptive decreases the effect of lamotrigine,
DB00310,DB00390,Chlorthalidone,Digoxin,Possible electrolyte variations and arrhythmias,
DB00310,DB00915,Chlorthalidone,Amantadine,The diuretic increases the adverse effects of amantadine,
DB00310,DB01356,Chlorthalidone,Lithium cation,The thiazide diuretic increases serum levels of lithium,
DB00312,DB00333,Pentobarbital,Methadone,The barbiturate decreases the effect of methadone,
DB00312,DB00351,Pentobarbital,Megestrol acetate,The enzyme inducer decreases the effect of hormones,
DB00312,DB00635,Pentobarbital,Prednisone,The barbiturate decreases the effect of the corticosteroid,
DB00312,DB00741,Pentobarbital,Hydrocortisone,The barbiturate decreases the effect of the corticosteroid,
DB00312,DB00916,Pentobarbital,Metronidazole,The barbiturate decreases the effect of metronidazole,
DB00312,DB01234,Pentobarbital,Dexamethasone,The barbiturate decreases the effect of the corticosteroid,
DB00313,DB00564,Valproic acid,Carbamazepine,Carbamazepine decreases the effect of valproic acid,
DB00313,DB00945,Valproic acid,Acetylsalicylic acid,The salicylate increases the effect of valproic acid,
DB00313,DB01402,Valproic acid,Bismuth subsalicylate,The salicylate increases the effect of valproic acid,
DB00316,DB00619,Acetaminophen,Imatinib,Increased hepatic toxicity of both agents,
DB00316,DB00682,Acetaminophen,Warfarin,Acetaminophen increases the anticoagulant effect,Minor
DB00316,DB00951,Acetaminophen,Isoniazid,Risk of hepatotoxicity,
DB00318,DB00501,Codeine,Cimetidine,Cimetidine increases the effect of the narcotic,
DB00318,DB00704,Codeine,Naltrexone,Naltrexone may precipitate a withdrawal syndrome in opioid-dependent individual,
DB00319,DB00563,Piperacillin,Methotrexate,The penicillin increases the effect and toxicity of methotrexate,
DB00319,DB00618,Piperacillin,Demeclocycline,Possible antagonism of action,
DB00319,DB00682,Piperacillin,Warfarin,The IV penicillin increases the anticoagulant effect,
DB00319,DB00728,Piperacillin,Rocuronium,The agent increases the effect of the muscle relaxant,
DB00319,DB00759,Piperacillin,Tetracycline,Possible antagonism of action,
DB00319,DB00977,Piperacillin,Ethinylestradiol,This anti-infectious agent could decrease the effect of the oral contraceptive,
DB00319,DB01017,Piperacillin,Minocycline,Possible antagonism of action,
DB00319,DB01226,Piperacillin,Mivacurium,The agent increases the effect of the muscle relaxant,
DB00319,DB01339,Piperacillin,Vecuronium,The agent increases the effect of the muscle relaxant,
DB00320,DB00472,Dihydroergotamine,Fluoxetine,Possible ergotism and severe ischemia with this combination,
DB00320,DB00571,Dihydroergotamine,Propranolol,Ischemia with risk of gangrene,
DB00320,DB00598,Dihydroergotamine,Labetalol,Ischemia with risk of gangrene,
DB00320,DB00669,Dihydroergotamine,Sumatriptan,Possible severe and prolonged vasoconstriction,
DB00320,DB00727,Dihydroergotamine,Nitroglycerin,Possible antagonism of action,
DB00320,DB00952,Dihydroergotamine,Naratriptan,Possible severe and prolonged vasoconstriction,
DB00320,DB00953,Dihydroergotamine,Rizatriptan,Possible severe and prolonged vasoconstriction,
DB00320,DB00998,Dihydroergotamine,Frovatriptan,Possible severe and prolonged vasoconstriction,
DB00320,DB01136,Dihydroergotamine,Carvedilol,Ischemia with risk of gangrene,
DB00320,DB01203,Dihydroergotamine,Nadolol,Ischmeia with risk of gangrene,
DB00321,DB00368,Amitriptyline,Norepinephrine,The tricyclic increases the sympathomimetic effect,
DB00321,DB00388,Amitriptyline,Phenylephrine,The tricyclic increases the sympathomimetic effect,
DB00321,DB00472,Amitriptyline,Fluoxetine,Fluoxetine increases the effect and toxicity of tricyclics,Major
DB00321,DB00476,Amitriptyline,Duloxetine,Possible increase in the levels of this agent when used with duloxetine,
DB00321,DB00501,Amitriptyline,Cimetidine,Cimetidine increases the effect of tricyclic agent,
DB00321,DB00503,Amitriptyline,Ritonavir,Ritonavir increases the effect and toxicity of tricyclics,
DB00321,DB00564,Amitriptyline,Carbamazepine,The tricyclics increases the effect of carbamazepine,Moderate
DB00321,DB00575,Amitriptyline,Clonidine,The tricyclic decreases the effect of clonidine,
DB00321,DB00662,Amitriptyline,Trimethobenzamide,"Trimethobenzamide and Amitriptyline, two anticholinergics, may cause additive anticholinergic effects and enhance their adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00321,DB00668,Amitriptyline,Epinephrine,The tricyclic increases the sympathomimetic effect,
DB00321,DB00841,Amitriptyline,Dobutamine,The tricyclic increases the sympathomimetic effect,
DB00321,DB00843,Amitriptyline,Donepezil,Possible antagonism of action,
DB00321,DB00852,Amitriptyline,Pseudoephedrine,The tricyclic increases the sympathomimetic effect,
DB00321,DB00871,Amitriptyline,Terbutaline,The tricyclic increases the sympathomimetic effect,
DB00321,DB00988,Amitriptyline,Dopamine,The tricyclic increases the sympathomimetic effect,
DB00321,DB01001,Amitriptyline,Salbutamol,The tricyclic increases the sympathomimetic effect,Moderate
DB00321,DB01026,Amitriptyline,Ketoconazole,The imidazole increases the effect and toxicity of the tricyclic,
DB00321,DB01045,Amitriptyline,Rifampicin,The rifamycin decreases the effect of tricyclics,
DB00321,DB01064,Amitriptyline,Isoprenaline,The tricyclic increases the sympathomimetic effect,
DB00321,DB01072,Amitriptyline,Atazanavir,Atazanavir increases the effect and toxicity of tricyclics,
DB00321,DB01364,Amitriptyline,Ephedrine,The tricyclic increases the sympathomimetic effect,
DB00327,DB00501,Hydromorphone,Cimetidine,Cimetidine increases the effect of the narcotic,
DB00327,DB00704,Hydromorphone,Naltrexone,Naltrexone may precipitate a withdrawal syndrome in opioid-dependent individual,
DB00328,DB00335,Indomethacin,Atenolol,Risk of inhibition of renal prostaglandins,
DB00328,DB00373,Indomethacin,Timolol,Risk of inhibition of renal prostaglandins,
DB00328,DB00384,Indomethacin,Triamterene,Risk of acute renal impairment with this combination,
DB00328,DB00489,Indomethacin,Sotalol,Risk of inhibition of renal prostaglandins,
DB00328,DB00563,Indomethacin,Methotrexate,The NSAID increases the effect and toxicity of methotrexate,
DB00328,DB00571,Indomethacin,Propranolol,Risk of inhibition of renal prostaglandins,
DB00328,DB00598,Indomethacin,Labetalol,Risk of inhibition of renal prostaglandins,
DB00328,DB00612,Indomethacin,Bisoprolol,Risk of inhibition of renal prostaglandins,
DB00328,DB00630,Indomethacin,Alendronic acid,Increased risk of gastric toxicity,
DB00328,DB00678,Indomethacin,Losartan,Indomethacin decreases the effect of losartan,
DB00328,DB00682,Indomethacin,Warfarin,The NSAID increases the anticoagulant effect,
DB00328,DB00695,Indomethacin,Furosemide,The NSAID decreases the diuretic and antihypertensive effects of the loop diuretic,
DB00328,DB00887,Indomethacin,Bumetanide,The NSAID decreases the diuretic and antihypertensive effects of the loop diuretic,
DB00328,DB01032,Indomethacin,Probenecid,Probenecid increases the effect/toxicity of indomethacin,
DB00328,DB01136,Indomethacin,Carvedilol,Risk of inhibition of renal prostaglandins,
DB00328,DB01203,Indomethacin,Nadolol,Risk of inhibition of renal prostaglandins,
DB00328,DB01356,Indomethacin,Lithium cation,The NSAID increases serum levels of lithium,
DB00331,DB00501,Metformin,Cimetidine,Cimetidine increases the effect of metformin,
DB00332,DB00662,Ipratropium,Trimethobenzamide,"Trimethobenzamide and Ipratropium, two anticholinergics, may cause additive anticholinergic effects and enhance their adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00333,DB00495,Methadone,Zidovudine,Methadone increases the effect and toxicity of zidovudine,
DB00333,DB00503,Methadone,Ritonavir,The protease inhibitor decreases the effect of methadone,
DB00333,DB00704,Methadone,Naltrexone,Naltrexone may precipitate a withdrawal syndrome in opioid-dependent individuals,
DB00333,DB00794,Methadone,Primidone,The barbiturate decreases the effect of methadone,
DB00333,DB01045,Methadone,Rifampicin,The rifamycin decreases the effect of methadone,
DB00333,DB01174,Methadone,Phenobarbital,The barbiturate decreases the effect of methadone,
DB00333,DB01320,Methadone,Fosphenytoin,The hydantoin decreases the effect of methadone,
DB00334,DB00503,Olanzapine,Ritonavir,Ritonavir decreases the effect of olanzapine,
DB00334,DB00662,Olanzapine,Trimethobenzamide,"Trimethobenzamide and Olanzapine, two anticholinergics, may cause additive anticholinergic effects and enhance their adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00334,DB00674,Olanzapine,Galantamine,Possible antagonism of action,
DB00334,DB00843,Olanzapine,Donepezil,Possible antagonism of action,
DB00334,DB00989,Olanzapine,Rivastigmine,Possible antagonism of action,
DB00335,DB00343,Atenolol,Diltiazem,Increased risk of bradycardia,Major
DB00335,DB00415,Atenolol,Ampicillin,Ampicillin decreases bioavailability of atenolol,
DB00335,DB00457,Atenolol,Prazosin,Risk of hypotension at the beginning of therapy,
DB00335,DB00554,Atenolol,Piroxicam,Risk of inhibition of renal prostaglandins,
DB00335,DB00575,Atenolol,Clonidine,Increased hypertension when clonidine stopped,
DB00335,DB00661,Atenolol,Verapamil,Increased effect of both drugs,Major
DB00335,DB00668,Atenolol,Epinephrine,"Hypertension, then bradycardia",Moderate
DB00335,DB00871,Atenolol,Terbutaline,Antagonism,
DB00335,DB00912,Atenolol,Repaglinide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00335,DB00938,Atenolol,Salmeterol,Antagonism,
DB00335,DB00983,Atenolol,Formoterol,Antagonism,
DB00335,DB01001,Atenolol,Salbutamol,Antagonism,Moderate
DB00335,DB01016,Atenolol,Glyburide,The beta-blocker decreases the symptoms of hypoglycemia,Moderate
DB00335,DB01050,Atenolol,Ibuprofen,Risk of inhibition of renal prostaglandins,Moderate
DB00335,DB01064,Atenolol,Isoprenaline,Antagonism,
DB00335,DB01067,Atenolol,Glipizide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00335,DB01306,Atenolol,Insulin aspart,The beta-blocker decreases the symptoms of hypoglycemia,
DB00335,DB01307,Atenolol,Insulin detemir,The beta-blocker decreases the symptoms of hypoglycemia,
DB00335,DB01309,Atenolol,Insulin glulisine,The beta-blocker decreases the symptoms of hypoglycemia,
DB00338,DB00404,Omeprazole,Alprazolam,Omeprazole increases the effect of benzodiazepine,
DB00338,DB00475,Omeprazole,Chlordiazepoxide,Omeprazole increases the effect of benzodiazepine,
DB00338,DB00563,Omeprazole,Methotrexate,Omeprazole increases the levels of methotrexate,
DB00338,DB00582,Omeprazole,Voriconazole,Voriconazole increases the effect and toxicity of omeprazole,
DB00338,DB00628,Omeprazole,Clorazepic acid,Omeprazole increases the effect of benzodiazepine,
DB00338,DB00683,Omeprazole,Midazolam,Omeprazole increases the effect of benzodiazepine,
DB00338,DB00829,Omeprazole,Diazepam,Omeprazole increases the effect of benzodiazepine,Moderate
DB00338,DB00897,Omeprazole,Triazolam,Omeprazole increases the effect of benzodiazepine,
DB00338,DB01026,Omeprazole,Ketoconazole,The proton pump inhibitor decreases the absorption of the imidazole,
DB00338,DB01068,Omeprazole,Clonazepam,Omeprazole increases the effect of benzodiazepine,Moderate
DB00338,DB01072,Omeprazole,Atazanavir,This gastric pH modifier decreases the levels/effects of atazanavir,
DB00338,DB01166,Omeprazole,Cilostazol,Omeprazole increases the effect of cilostazol,
DB00338,DB01167,Omeprazole,Itraconazole,The proton pump inhibitor decreases the absorption of the imidazole,
DB00338,DB01254,Omeprazole,Dasatinib,Possible decreased levels of dasatinib,
DB00338,DB01320,Omeprazole,Fosphenytoin,Omeprazole increases the effect of hydantoin,
DB00341,DB00662,Cetirizine,Trimethobenzamide,"Trimethobenzamide and Cetirizine, two anticholinergics, may cause additive anticholinergic effects and enhance their adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00343,DB00381,Diltiazem,Amlodipine,Increases the effect and toxicity of amlodipine,Moderate
DB00343,DB00490,Diltiazem,Buspirone,The calcium channel blocker increases the effect and toxicity of buspirone,
DB00343,DB00503,Diltiazem,Ritonavir,Ritonavir increases diltiazem levels,
DB00343,DB00564,Diltiazem,Carbamazepine,Increases the effect of carbamazepine,Major
DB00343,DB00571,Diltiazem,Propranolol,Increased risk of bradycardia,Major
DB00343,DB00641,Diltiazem,Simvastatin,Increases the effect and toxicity of simvastatin,Major
DB00343,DB00673,Diltiazem,Aprepitant,This CYP3A4 inhibitor increases the effect and toxicity of aprepitant,
DB00343,DB00683,Diltiazem,Midazolam,The calcium channel blocker increases the effect and toxicity of the benzodiazepine,
DB00343,DB00864,Diltiazem,Tacrolimus,Increases levels of tacrolimus,
DB00343,DB00877,Diltiazem,Sirolimus,Increases the effect and toxicity of sirolimus,
DB00343,DB00897,Diltiazem,Triazolam,The calcium channel blocker increases the effect and toxicity of the benzodiazepine,
DB00343,DB00908,Diltiazem,Quinidine,Increases the effect and toxicity of quinidine,
DB00343,DB00960,Diltiazem,Pindolol,Increased risk of bradycardia,
DB00343,DB01045,Diltiazem,Rifampicin,Rifampin decreases levels of diltiazem,
DB00343,DB01076,Diltiazem,Atorvastatin,Increases the effect and toxicity of atorvastatin,
DB00343,DB01118,Diltiazem,Amiodarone,Increased risk of cardiotoxicity and arrhythmias,Major
DB00343,DB01166,Diltiazem,Cilostazol,Increases the effect of cilostazol,
DB00343,DB01369,Diltiazem,Quinupristin,This combination presents an increased risk of toxicity,
DB00344,DB00388,Protriptyline,Phenylephrine,The tricyclic increases the sympathomimetic effect,
DB00344,DB00472,Protriptyline,Fluoxetine,Fluoxetine increases the effect and toxicity of tricyclics,
DB00344,DB00575,Protriptyline,Clonidine,The tricyclic decreases the effect of clonidine,
DB00344,DB00668,Protriptyline,Epinephrine,The tricyclic increases the sympathomimetic effect,
DB00353,DB00388,Methylergometrine,Phenylephrine,Possible marked increase of arterial pressure,
DB00353,DB00668,Methylergometrine,Epinephrine,Possible marked increase of arterial pressure,
DB00353,DB00727,Methylergometrine,Nitroglycerin,Possible antagonism of action,
DB00355,DB00618,Aztreonam,Demeclocycline,Possible antagonism of action,
DB00355,DB00759,Aztreonam,Tetracycline,Possible antagonism of action,
DB00355,DB00977,Aztreonam,Ethinylestradiol,This anti-infectious agent could decrease the effect of the oral contraceptive,
DB00355,DB01017,Aztreonam,Minocycline,Possible antagonism of action,
DB00359,DB00563,Sulfadiazine,Methotrexate,The sulfamide increases the toxicity of methotrexate,
DB00359,DB01320,Sulfadiazine,Fosphenytoin,The sulfonamide increases the effect of hydantoin,
DB00361,DB00673,Vinorelbine,Aprepitant,Aprepitant may change levels of chemotherapy agent,
DB00363,DB00404,Clozapine,Alprazolam,Increased risk of toxicity,
DB00363,DB00472,Clozapine,Fluoxetine,The antidepressant increases the effect of clozapine,
DB00363,DB00502,Clozapine,Haloperidol,Increases the effect and toxicity of haloperidol,
DB00363,DB00537,Clozapine,Ciprofloxacin,Ciprofloxacin may increase clozapine serum levels,
DB00363,DB00555,Clozapine,Lamotrigine,Lamotrigine increases the effect and toxicity of clozapine,
DB00363,DB00628,Clozapine,Clorazepic acid,Increased risk of toxicity,
DB00363,DB00683,Clozapine,Midazolam,Increased risk of toxicity,
DB00363,DB00722,Clozapine,Lisinopril,Lisinopril increases the effect and toxicity of clozapine,
DB00363,DB00745,Clozapine,Modafinil,Modafinil increases the effect and toxicity of clozapine,
DB00363,DB00829,Clozapine,Diazepam,Increased risk of toxicity,
DB00363,DB00843,Clozapine,Donepezil,Possible antagonism of action,
DB00363,DB00989,Clozapine,Rivastigmine,Possible antagonism of action,
DB00363,DB01068,Clozapine,Clonazepam,Increased risk of toxicity,
DB00363,DB01104,Clozapine,Sertraline,The antidepressant increases the effect of clozapine,
DB00364,DB00448,Sucralfate,Lansoprazole,Sucralfate decreases the effect of lansoprazole,
DB00364,DB00451,Sucralfate,Levothyroxine,Sucralfate decreases the effect of levothyroxine,
DB00364,DB00537,Sucralfate,Ciprofloxacin,Formation of non-absorbable complexes,
DB00364,DB00710,Sucralfate,Ibandronate,Formation of non absorbable complexes,
DB00364,DB01137,Sucralfate,Levofloxacin,Formation of non-absorbable complexes,
DB00364,DB01167,Sucralfate,Itraconazole,Sucralfate decreases the absorption of the imidazole,
DB00364,DB01320,Sucralfate,Fosphenytoin,Sucralfate decreases the effect of hydantoin,
DB00366,DB00662,Doxylamine,Trimethobenzamide,"Trimethobenzamide and Doxylamine, two anticholinergics, may cause additive anticholinergic effects and enhance their adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00367,DB00564,Levonorgestrel,Carbamazepine,Carbamazepine decreases the contraceptive effect,Major
DB00367,DB00794,Levonorgestrel,Primidone,Phenobarbital decreases the effect of levonorgestrel,
DB00367,DB01174,Levonorgestrel,Phenobarbital,Phenobarbital decreases the effect of levonorgestrel,Major
DB00368,DB00458,Norepinephrine,Imipramine,The tricyclic increases the sympathomimetic effect,
DB00368,DB00494,Norepinephrine,Entacapone,Entacapone increases the effect and toxicity of sympathomimetics,
DB00368,DB00540,Norepinephrine,Nortriptyline,The tricyclic increases the sympathomimetic effect,
DB00368,DB00601,Norepinephrine,Linezolid,Possible increase of arterial pressure,
DB00368,DB01142,Norepinephrine,Doxepin,The tricyclic increases the sympathomimetic effect,
DB00370,DB00575,Mirtazapine,Clonidine,Possible hypertensive crisis,
DB00370,DB00674,Mirtazapine,Galantamine,Possible antagonism of action,
DB00370,DB00843,Mirtazapine,Donepezil,Possible antagonism of action,
DB00370,DB00989,Mirtazapine,Rivastigmine,Possible antagonism of action,
DB00370,DB01320,Mirtazapine,Fosphenytoin,The hydantoins may reduce mirtazapine plasma concentrations and pharmacological effects,
DB00370,DB01367,Mirtazapine,Rasagiline,Possible severe adverse reaction with this combination,
DB00373,DB00457,Timolol,Prazosin,Risk of hypotension at the beginning of therapy,
DB00373,DB00575,Timolol,Clonidine,Increased hypertension when clonidine stopped,
DB00373,DB00661,Timolol,Verapamil,Increased effect of both drugs,
DB00373,DB00668,Timolol,Epinephrine,"Hypertension, then bradycardia",
DB00373,DB00938,Timolol,Salmeterol,Antagonism,
DB00373,DB00983,Timolol,Formoterol,Antagonism,
DB00373,DB01001,Timolol,Salbutamol,Antagonism,Major
DB00373,DB01016,Timolol,Glyburide,The beta-blocker decreases the symptoms of hypoglycemia,Moderate
DB00373,DB01050,Timolol,Ibuprofen,Risk of inhibition of renal prostaglandins,None
DB00373,DB01064,Timolol,Isoprenaline,Antagonism,
DB00373,DB01067,Timolol,Glipizide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00375,DB00390,Colestipol,Digoxin,The resin decreases the effect of digoxin,
DB00375,DB00451,Colestipol,Levothyroxine,The resin decreases the absorption of thyroid hormones,
DB00375,DB00481,Colestipol,Raloxifene,The resin decreases the effect of raloxifene,
DB00375,DB00682,Colestipol,Warfarin,The gastro-intestinal binding agent decreases the anticoagulant effect,
DB00375,DB00741,Colestipol,Hydrocortisone,Cholestyramine decreases the effect of hydrocortisone,
DB00375,DB01586,Colestipol,Ursodeoxycholic acid,The resin decreases the effect of ursodiol,
DB00376,DB00502,Trihexyphenidyl,Haloperidol,The anticholinergic increases the risk of psychosis and tardive dyskinesia,
DB00376,DB00843,Trihexyphenidyl,Donepezil,Possible antagonism of action,
DB00384,DB00492,Triamterene,Fosinopril,Increased risk of hyperkaliemia,
DB00384,DB00519,Triamterene,Trandolapril,Increased risk of hyperkaliemia,
DB00384,DB00542,Triamterene,Benazepril,Increased risk of hyperkaliemia,
DB00384,DB00584,Triamterene,Enalapril,Increased risk of hyperkaliemia,
DB00384,DB00678,Triamterene,Losartan,Increased risk of hyperkaliemia,
DB00384,DB00722,Triamterene,Lisinopril,Increased risk of hyperkaliemia,
DB00384,DB00796,Triamterene,Candesartan cilexetil,Increased risk of hyperkaliemia,
DB00384,DB00881,Triamterene,Quinapril,Increased risk of hyperkaliemia,
DB00384,DB00915,Triamterene,Amantadine,The diuretic increases the adverse effects of amantadine,
DB00384,DB00966,Triamterene,Telmisartan,Increased risk of hyperkaliemia,
DB00384,DB01029,Triamterene,Irbesartan,Increased risk of hyperkaliemia,
DB00384,DB01197,Triamterene,Captopril,Increased risk of hyperkaliemia,
DB00384,DB01344,Triamterene,Tolevamer,Antagonism of action,
DB00388,DB00458,Phenylephrine,Imipramine,The tricyclic increases the sympathomimetic effect,
DB00388,DB00540,Phenylephrine,Nortriptyline,The tricyclic increases the sympathomimetic effect,
DB00388,DB00601,Phenylephrine,Linezolid,Possible increase of arterial pressure,
DB00388,DB00968,Phenylephrine,Methyldopa,Increased arterial pressure,
DB00388,DB01142,Phenylephrine,Doxepin,The tricyclic increases the sympathomimetic effect,
